"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"File handling","","Data saving","0","2","1","0","0"
"Data handling","","Data saving","0","2","1","0","0"
"Data handling","","Data listing","0","0","5","0","0"
"Technical functionalities","","Registration","2","0","1","0","0"
"Technical functionalities","","Login","0","0","5","0","0"
"Data handling","","Data input","1","0","1","1","0"
"File handling","","File download","1","0","0","0","0"
"Data handling","","List traversal with pagination","1","0","1","0","0"
"Navigation","","Navigate with window handling","0","0","1","0","0"
"Technical functionalities","","Logout","0","0","1","0","0"
"Navigation","","Navigate with button","1","0","0","0","0"
"Technical functionalities","","Terms and Conditions","1","0","1","0","0"
"Navigation","","Navigate with link","1","0","0","0","0"
"Data handling","","Data deletion","0","0","1","0","0"
"Data handling","","Data modification","1","0","0","0","0"
