"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 27 19:08:38 GMT 2023","Thu Apr 27 19:08:44 GMT 2023","5897","","tests.DataModificationTest","","tests.DataModificationTest","testProfileUsername","TC18 - Test profile name","Test if profile name is visible after setting account"
"passed","Thu Apr 27 19:09:15 GMT 2023","Thu Apr 27 19:09:18 GMT 2023","3078","","tests.SequentialDataInputTest","","tests.SequentialDataInputTest","testLoginMultipleUsers","TC17 - Sequential login","Login repeatedly with valid credentials from JSON file."
"failed","Thu Apr 27 19:08:45 GMT 2023","Thu Apr 27 19:08:47 GMT 2023","1397","","tests.RegistrationTest","","tests.RegistrationTest","testRegistrationWithMissingPassword","TC4 - Registration, Wrong password","Registration using wrong password"
"passed","Thu Apr 27 19:08:59 GMT 2023","Thu Apr 27 19:09:01 GMT 2023","1959","","tests.NavigationTest","","tests.NavigationTest","testButtonHireMe","TC23 - Test 'Hire Me Now' button","Test if 'Hire Me Now' button navigates to Contact page"
"failed","Thu Apr 27 19:08:47 GMT 2023","Thu Apr 27 19:08:48 GMT 2023","1422","","tests.RegistrationTest","","tests.RegistrationTest","testRegistrationWithWrongEmail","TC5 - Registration, Wrong email","Registration using wrong email"
"passed","Thu Apr 27 19:09:25 GMT 2023","Thu Apr 27 19:09:33 GMT 2023","8105","","tests.ListTraversalTest","","tests.ListTraversalTest","testWriteBlogTitlesFile","TC14 - Write file","Collect bolg posts' titles iterating through them and save the text to a file, then read them and compare with expected String"
"passed","Thu Apr 27 19:09:54 GMT 2023","Thu Apr 27 19:09:55 GMT 2023","1342","","tests.LoginTest","","tests.LoginTest","testLoginWithWrongPassword","TC8 - Wrong login2","Login with wrong password"
"failed","Thu Apr 27 19:09:21 GMT 2023","Thu Apr 27 19:09:25 GMT 2023","3913","","tests.DataSavingTest","","tests.DataSavingTest","testFileDownload","TC22 - Test downloading CV","Failed download by clicking on 'Download CV' button"
"passed","Thu Apr 27 19:09:58 GMT 2023","Thu Apr 27 19:10:00 GMT 2023","2125","","tests.DataListingTest","","tests.DataListingTest","testGetContactInfo","TC12 - Contact information","Compare expected HashMap of Contact information with a given JSON file"
"passed","Thu Apr 27 19:09:18 GMT 2023","Thu Apr 27 19:09:20 GMT 2023","1714","","tests.DataSavingTest","","tests.DataSavingTest","testSavePicture","TC20 - Save picture1","TC20 - Save picture to an existing file"
"passed","Thu Apr 27 19:10:00 GMT 2023","Thu Apr 27 19:10:02 GMT 2023","2066","","tests.DataListingTest","","tests.DataListingTest","testExperience","TC10 - Names of workplaces","Collect workplaces in String array and compare to a given file"
"passed","Thu Apr 27 19:08:48 GMT 2023","Thu Apr 27 19:08:54 GMT 2023","5761","","tests.NavigationTest","","tests.NavigationTest","testFacebookLink","TC25 - Test Facebook link","Clicking on Facebook link the user navigates to Facebook webpage"
"passed","Thu Apr 27 19:08:44 GMT 2023","Thu Apr 27 19:08:45 GMT 2023","1552","","tests.RegistrationTest","","tests.RegistrationTest","testRegistration","TC3 - Registration","Registration with right credentials"
"passed","Thu Apr 27 19:09:57 GMT 2023","Thu Apr 27 19:09:58 GMT 2023","1240","","tests.LoginTest","","tests.LoginTest","testLoginWithMissingUsername","TC7 - Wrong login1","Login with missing username"
"passed","Thu Apr 27 19:09:08 GMT 2023","Thu Apr 27 19:09:10 GMT 2023","2390","","tests.DataInputTest","","tests.DataInputTest","testSetProfile","TC15 - Set Profile","Set profile by giving credentials"
"passed","Thu Apr 27 19:09:51 GMT 2023","Thu Apr 27 19:09:52 GMT 2023","1448","","tests.TermsAndConditionsTest","","tests.TermsAndConditionsTest","testAcceptTerms","TC1 - Accept terms","Accept terms by clicking on OK button before Registration"
"passed","Thu Apr 27 19:09:10 GMT 2023","Thu Apr 27 19:09:15 GMT 2023","4232","","tests.DataDeletionTest","","tests.DataDeletionTest","testDeleteAccount","TC19 - Delete Account","Click profile and delete account, then try login again"
"failed","Thu Apr 27 19:08:54 GMT 2023","Thu Apr 27 19:08:59 GMT 2023","5577","","tests.NavigationTest","","tests.NavigationTest","testPrivacyAndPolicyLink","TC24 - Test Privacy and policy link","Clicking on Privacy and Policy link the user is thrown out of Portio webpage"
"passed","Thu Apr 27 19:10:04 GMT 2023","Thu Apr 27 19:10:12 GMT 2023","7626","","tests.DataListingTest","","tests.DataListingTest","testGetSkills","TC11 - Skill types & percents in HashMap","Collect all the Skill types & percents in a HashMap"
"failed","Thu Apr 27 19:09:52 GMT 2023","Thu Apr 27 19:09:54 GMT 2023","1475","","tests.TermsAndConditionsTest","","tests.TermsAndConditionsTest","testNotAcceptTerms","TC2 - Refuse accepting terms","Refuse accepting terms by clicking on Close Icon"
"failed","Thu Apr 27 19:09:04 GMT 2023","Thu Apr 27 19:09:08 GMT 2023","4134","","tests.DataInputTest","","tests.DataInputTest","testContactForm","TC16 - Send message with Contact Form","Unsuccessful message sending: 'Oops! There was a problem.'"
"passed","Thu Apr 27 19:09:20 GMT 2023","Thu Apr 27 19:09:21 GMT 2023","1513","","tests.DataSavingTest","","tests.DataSavingTest","testSavePicture2","TC21 - Save picture2","Save picture with creating the file at the same time or deleting it if it exists"
"passed","Thu Apr 27 19:10:02 GMT 2023","Thu Apr 27 19:10:04 GMT 2023","2007","","tests.DataListingTest","","tests.DataListingTest","testQuantityOfExperiences","TC9 - Number of workplaces","Get the size of workplaces' list"
"passed","Thu Apr 27 19:09:55 GMT 2023","Thu Apr 27 19:09:57 GMT 2023","1691","","tests.LoginTest","","tests.LoginTest","testLogin","TC6 - Login","Login with right credentials, accepting terms"
"passed","Thu Apr 27 19:09:33 GMT 2023","Thu Apr 27 19:09:51 GMT 2023","17570","","tests.ListTraversalTest","","tests.ListTraversalTest","testGetTotalItems","TC13 - Counting number of blog items","Add the number of blog posts with paginating the pages"
"passed","Thu Apr 27 19:09:01 GMT 2023","Thu Apr 27 19:09:04 GMT 2023","2377","","tests.LogoutTest","","tests.LogoutTest","testLogout","TC26 - Logout","Logging out after logging in"
